customer_id,age,gender,loyalty_member,product_type,sku,rating,order_status,payment_method,total_price,unit_price,quantity,purchase_date,shipping_type,add_ons_purchased,add_on_total,year,month,month_name,yearmonth,is_completed,order_revenue,items_per_order
1000,53,Male,No,Smartphone,SKU1004,2,Cancelled,Credit Card,5538.33,791.19,7,2024-03-20,Standard,"Accessory,Accessory,Accessory",40.21,2024,3,March,2024-03,0,5538.33,7
1000,53,Male,No,Tablet,SKU1002,3,Completed,Paypal,741.09,247.03,3,2024-04-20,Overnight,Impulse Item,26.09,2024,4,April,2024-04,1,741.09,3
1002,41,Male,No,Laptop,SKU1005,3,Completed,Credit Card,1855.84,463.96,4,2023-10-17,Express,None,0.0,2023,10,October,2023-10,1,1855.84,4
1002,41,Male,Yes,Smartphone,SKU1004,2,Completed,Cash,3164.76,791.19,4,2024-08-09,Overnight,"Impulse Item,Impulse Item",60.16,2024,8,August,2024-08,1,3164.76,4
1003,75,Male,Yes,Smartphone,SKU1001,5,Completed,Cash,41.5,20.75,2,2024-05-21,Express,Accessory,35.56,2024,5,May,2024-05,1,41.5,2
1004,41,Female,No,Smartphone,SKU1001,5,Completed,Credit Card,83.0,20.75,4,2024-05-26,Standard,"Impulse Item,Accessory",65.78,2024,5,May,2024-05,1,83.0,4
1005,25,Female,No,Smartwatch,SKU1003,3,Completed,Paypal,7603.47,844.83,9,2024-01-30,Overnight,None,0.0,2024,1,January,2024-01,1,7603.47,9
1005,25,Female,No,Laptop,SKU1005,3,Completed,Debit Card,4175.64,463.96,9,2024-06-24,Overnight,"Extended Warranty,Extended Warranty",75.33,2024,6,June,2024-06,1,4175.64,9
1006,24,Male,No,Smartphone,SKU1004,2,Cancelled,Debit Card,5538.33,791.19,7,2023-10-03,Standard,Impulse Item,43.05,2023,10,October,2023-10,0,5538.33,7
1006,24,Male,Yes,Laptop,SKU1005,3,Completed,Cash,4175.64,463.96,9,2024-01-01,Express,None,0.0,2024,1,January,2024-01,1,4175.64,9
1006,24,Male,Yes,Tablet,SKU1002,3,Completed,Paypal,2470.3,247.03,10,2024-06-25,Overnight,"Impulse Item,Accessory,Impulse Item",90.38,2024,6,June,2024-06,1,2470.3,10
1007,35,Male,No,Smartphone,SKU1004,2,Cancelled,Credit Card,7120.71,791.19,9,2023-11-07,Overnight,"Accessory,Extended Warranty",55.48,2023,11,November,2023-11,0,7120.71,9
1008,66,Female,No,Smartwatch,SKU1003,3,Completed,Cash,3379.32,844.83,4,2023-09-25,Express,"Extended Warranty,Impulse Item,Extended Warranty",65.85,2023,9,September,2023-09,1,3379.32,4
1011,72,Male,No,Smartphone,SKU1004,2,Completed,Credit Card,7911.9,791.19,10,2024-07-07,Standard,"Accessory,Accessory,Accessory",70.17,2024,7,July,2024-07,1,7911.9,10
1013,42,Female,No,Smartphone,SKU1004,2,Cancelled,Paypal,5538.33,791.19,7,2024-03-18,Overnight,"Accessory,Impulse Item,Accessory",57.81,2024,3,March,2024-03,0,5538.33,7
1014,73,Female,No,Smartwatch,SKU1003,3,Cancelled,Credit Card,5068.98,844.83,6,2024-01-02,Standard,"Extended Warranty,Extended Warranty",69.31,2024,1,January,2024-01,0,5068.98,6
1014,73,Female,Yes,Smartphone,SKU1004,2,Completed,Cash,4747.14,791.19,6,2024-05-18,Standard,Accessory,8.3,2024,5,May,2024-05,1,4747.14,6
1015,22,Male,No,Smartphone,SKU1001,5,Completed,Paypal,83.0,20.75,4,2024-09-02,Standard,"Accessory,Accessory,Accessory",80.0,2024,9,September,2024-09,1,83.0,4
1016,61,Male,Yes,Smartphone,SKU1001,5,Completed,Paypal,103.75,20.75,5,2024-07-07,Overnight,None,0.0,2024,7,July,2024-07,1,103.75,5
1018,34,Male,No,Smartphone,SKU1001,5,Completed,Paypal,124.5,20.75,6,2024-07-23,Express,"Impulse Item,Extended Warranty",70.39,2024,7,July,2024-07,1,124.5,6
1019,45,Male,No,Smartphone,SKU1001,5,Cancelled,Cash,83.0,20.75,4,2024-03-14,Express,None,0.0,2024,3,March,2024-03,0,83.0,4
1019,45,Male,No,Tablet,SKU1002,3,Completed,Cash,988.12,247.03,4,2024-04-20,Express,"Impulse Item,Impulse Item",37.87,2024,4,April,2024-04,1,988.12,4
1019,45,Male,Yes,Smartwatch,SKU1003,3,Cancelled,Paypal,844.83,844.83,1,2024-07-21,Express,Accessory,49.17,2024,7,July,2024-07,0,844.83,1
1020,57,Female,No,Smartwatch,SKU1003,3,Cancelled,Debit Card,3379.32,844.83,4,2023-12-02,Express,"Impulse Item,Accessory,Extended Warranty",37.13,2023,12,December,2023-12,0,3379.32,4
